[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on https://192.168.4.131:8000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 459-608-254
Not Found: /
192.168.4.131 - - [20/Jun/2025 13:33:44] "[33mGET / HTTP/1.1[0m" 404 -
192.168.5.49 - - [20/Jun/2025 13:34:07] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:34:07] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:34:07] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:34:07] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "OPTIONS /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "OPTIONS /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "OPTIONS /api/users/activity-log/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:14] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.4.131 - - [20/Jun/2025 13:34:24] "OPTIONS /api/signature-templates/templates/2/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:24] "GET /api/signature-templates/templates/2/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:24] "GET /media/templates/1/signatures/signature.png HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:42] "[35m[1mPOST /api/public/store_signature/?api_key=certisign_microservice_key_2025 HTTP/1.1[0m" 201 -
192.168.4.131 - - [20/Jun/2025 13:34:46] "OPTIONS /api/documents/signatures/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:34:46] "GET /api/documents/signatures/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:38:41] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:38:41] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:38:42] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:38:42] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.4.131 - - [20/Jun/2025 13:50:58] "GET /api/signature-templates/templates/2/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:58:56] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:58:56] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:58:56] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:58:56] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:58:56] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.4.131 - - [20/Jun/2025 13:58:56] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.5.49 - - [20/Jun/2025 13:58:57] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:58:57] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.5.49 - - [20/Jun/2025 13:58:57] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.4.131 - - [20/Jun/2025 13:58:57] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:58:58] "POST /api/users/token-verify/ HTTP/1.1" 200 -
192.168.4.131 - - [20/Jun/2025 13:58:58] "[35m[1mPOST /api/users/activity-log/ HTTP/1.1[0m" 201 -
192.168.5.49 - - [20/Jun/2025 13:59:42] "GET /api/signature-templates/templates/ HTTP/1.1" 200 -
